id,zipcode,latitude,longitude,saleprice,totalcrime,rank,rankStars,rent,marketindex,totalincome
132,11422,40.66,-73.73,468100,39,16,5,,6.53957172585084,730375
133,11423,40.71,-73.76,559400,32,,,,8.95885077532389,657303
134,11426,40.74,-73.72,614600,13,,,,8.04927166543599,529466
135,11427,40.73,-73.75,633100,26,,,,9.44418339262939,629520
136,11428,40.72,-73.74,551200,32,671,1,,8.96959119285762,429292
137,11429,40.71,-73.74,469400,38,,,,5.95287641807075,520269
138,11432,40.72,-73.79,842400,102,,,,7.21420420218836,1206344
139,11433,40.7,-73.79,456300,87,,,,5.16748338591663,521098
140,11434,40.68,-73.78,444500,210,573.5,1.5,,7.35987111498959,1232331
141,11435,40.7,-73.81,513300,94,434,2,1900.0,9.04880177216889,990811
142,11436,40.68,-73.8,434900,33,,,,8.21641941330469,336602
143,11692,40.59,-73.79,357500,41,,,,,286523
144,11694,40.58,-73.84,867600,25,,,,3.15835403101296,756415
